ftst_tckr_no,topc_id,kor_item_name,item_eng_dtl_name,bzns_otln_dtl_text,myd_excg_no,oppr_tot_amt
007700-KR,CP0000001877,에프앤에프홀딩스,"F&F Holdings Co., Ltd.","동사는 2021년 5월 1일을 분할기일로 패션사업부문인 신설회사 (주)에프앤에프를 설립하고, 존속회사는 (주)에프앤에프홀딩스로 상호를 변경하며 인적 분할함. 동사는 지주회사이며, 13개의 자회사를 포함, 총 21개의 계열회사를 두고 있으며 자회사 및 피투자회사의 지분 관리 및 투자를 목적으로 하는 사업부문을 영위. 회사 등으로부터 받는 배당수익과 F&F 브랜드 권리를 소유하며 사용자로부터 상표권 사용수익을 수취.",KRX,769678
008560-KR,CP0000001679,메리츠종합금융증권,MERITZ SECURITIES CO LTD,"1973년 설립된 투자매매업, 투자중개업, 투자자문업, 투자일임업, 집합투자업, 신탁업 및 기업에 대한 신용공여 등의 업무를 영위하고 있는 메리츠금융그룹의 종합금융투자회사임. 종합금융업이 2020년 4월에 종료되어, 사명을 메리츠증권 주식회사로 변경하였음. 새로운 수익원 발굴 및 고객 서비스 개선을 위하여 2021년 중 상장지수증권(ETN)과 국내 및 해외주식 차액결제거래(CFD), 중개형 ISA 계좌개설 서비스를 신규 런칭함.",KRX,2571710
035760-KR,CP0000001681,CJ ENM,"CJ ENM Co., Ltd.","동사는 1994년 12월 종합유선방송사업과 홈쇼핑 프로그램의 제작공급 및 도소매업을 목적으로 실립되어 1999년 11월 코스닥시장에 상장함. 동사는 방송채널사용사업자로서 현재 tvN, Mnet, OCN, Olive, XtvN, Tooniverse 등의 채널을 운영하고 있음. 주요 종속회사로 스튜디오드래곤이 드라마 콘텐츠 제작 등을 영위 중임. 커머스 사업은 Live TV와 T커머스, CJ몰(CJmall)을 운영함.",KRX,2054310
012510-KR,CP0000001788,더존비즈온,DOUZONE BIZON CO.LTD,"ERP, IFRS솔루션, 그룹웨어, 정보보호, 전자세금계산서 등 기업 정보화 소프트웨어 분야에서 필요한 각종 Solution과 Service를 제공하는 기업. 2011년 더존ICT그룹 강촌캠퍼스로 본사를 이전하며 클라우드 사업을 위한 핵심 거점 'D-클라우드 센터'를 구축하였고, 클라우드와 연계된 클라우드 플랫폼, 모바일 오피스, 전자금융 등이 융합된 서비스모델을 선보임.",KRX,1051240
081660-KR,CP0000001821,휠라홀딩스,FILA Holdings Corp.,"가정용 섬유제품, 의복, 신발, 가죽제품, 시계, 화장품 및 골프장비 등의 제조, 도소매 및 수출입을 목적으로 1991년 7월 설립되었으며, 1991년 8월 외국인투자기업으로 등록됨. 2005년 MBO 방식을 통해 FILA Global Group으로부터 독립하였으며, 2007년 LBO 방식으로 FILA Global 상표권 및 사업권을 인수함. 2020년 1월 물적분할을 진행하여 휠라홀딩스로 사명을 변경하고 지주회사로 전환함.",KRX,1787850
002380-KR,CP0000001853,KCC,KCC Corporation,"동사는 1958년 창사 이래 건축 산업용 자재와 도료, 실리콘 및 첨단소재를 생산하는 종합정밀화학 기업임. 수익을 창출하는 용역의 성격에 따라 주요 영업부문을 건자재, 도료, 실리콘, 기타 부문으로 구분하고 있음. 건자재부문은 PVC, 석고보드 등이 있으며 도료 부문은 선박용, 자동차용 도료로 구분됨. 동사는 건축자재의 내장재 및 보온단열재 대부분 품목에서 동종업계의 선두위치를 확보하고 있음.",KRX,2133790
047050-KR,CP0000001858,포스코인터내셔널,POSCO INTERNATIONAL Corporation,"2000년 12월 대우의 무역부문의 인적분할을 통해 설립되었으며, 2010년 8월 포스코가 한국자산관리공사 등으로부터 지분 68.2%를 취득하여 최대주주가 됨. 2017년 포스코P&S의 철강 등 사업부문을 흡수합병함. 2020년 4월 철강 가공사업을 물적 분할함. 수출입업, 중개업, 자원개발 등의 사업을 영위하고 있으며, 철강, 비철금속, 화학제품, 자동차부품, 기계, 선박 및 플랜트, 전기전자,곡물, 원유 등이 주요 품목임.",KRX,2424310
095700-KR,CP0000001860,제넥신,"Genexine, Inc.","동사는 1999년 설립된 신약 연구개발 기업으로, 항체융합단백질 제조 및 유전자 치료백신 제조 원천기술을 국내 제약사에 이전하는 사업을 영위하고 있음. 2009년 9월 코스닥시장에 상장되어 주식거래가 개시되었으며, 연결대상 종속법인으로 CDMO 서비스 기업인 에스엘포젠을 보유하고 있음. 동사는 Hybrid Fc 플랫폼 기술을 보유하고 이를 기반으로 항암면역 치료제, 차세대 단백질 신약, 신규 DNA백신 신약 연구개발중임.",KRX,799420
014680-KR,CP0000001713,한솔케미칼,"Hansol Chemical Co., Ltd","동사는 1980년 3월 13일 설립되어 1989년 5월 20일 유가증권시장에 상장됨. 동사의 주요 사업내용은 라텍스, 과산화수소, PAM, 차아황산소다, 전자재료, Precursor, 기타 화공약품 등의 판매임. 정밀화학 산업은 각종 첨가제, 제지약품, 수처리제, 염료, 도료, 안료, 반도체약품, 계면활성제, 접착제, 화장품, 의약품 등을 생산하는 공업을 포괄하는 화학산업으로 가공형 산업의 특징을 지니고 있음.",KRX,2487180
009240-KR,CP0000001732,한샘,"Hanssem Co., Ltd","동사는 1973년 설립되었으며, 2002년 7월 한국거래소 유가증권시장에 상장됨. 주요 사업으로는 부엌가구 제조 유통 및 인테리어 가구 등 유통업, 토탈 홈 인테리어 패키지를 제공하는 리모델링 사업 아이템사업을 영위함. 동사는 2020년에는 기흥점과 안성스타필드점, 2021년에는 롯데광복점, 울산점, 롯데동래점 및 롯데메종동부산점을 신규 오픈하여 유통망을 확장.",KRX,960715
204320-KR,CP0000001686,만도,Mando Corp,"동사는 2014년 한라홀딩스의 자동차부품 제조ㆍ판매업 부문이 인적분할되어 설립되었으며, 2014년 한국거래소 유가증권시장에 주식을 상장함. 동사는 제동, 조향, 현가장치 및 기타 자동차부품의 설계, 조립, 제조, 공급 및 자동차부품의 마케팅, 판매업 등을 영위하고 있음. 동사는 사업구조 안정화를 위하여 현대기아차 뿐 아니라 GM, Ford, 중국 로컬 OEM, 유럽 및 인도 완성차까지 고객다변화를 진행 중임.",KRX,2640640
240810-KR,CP0000001754,원익아이피에스,"WONIK IPS CO., LTD.","인적분할로 설립된 신설회사로 2016년 5월 재상장, 분할 전 회사인 원익홀딩스가 영위하던 사업 중 반도체, Display 및 Solar 장비의 제조사업부문을 담당. 2019년 2월 원익테라세미콘 합병으로 국내 대형 장비 기업으로 도약. 매출구성은 제품(반도체/Display/Solar Cell 제조 장비) 88%, 기타(장비 및 장치 유지보수에 필요한 부품, 기술용역 등) 11%로 이루어져 있음.",KRX,1527560
058470-KR,CP0000001882,리노공업,Leeno Industrial Inc.,"동사는 1978년 11월 리노공업사로 창업 이후 1996년 12월 법인전환을 하였으며,  2001년 코스닥시장에 주식을 상장함. 검사용 프로브와 반도체 검사용 소켓을 자체브랜드로 개발하여 제조 및 판매하는 사업과 초음파 진단기 등에 적용되는 의료기기 부품을 제조 및 판매하는사업 등을 영위하고 있음. 40년 이상의 업력과 축적된 노하우를 바탕으로 다품종 및 단납기에 대응할 수 있는 생산시스템을 보유하고 있음.",KRX,2008200
001040-KR,CP0000001656,CJ,CJ Corporation,"1953년에 설립되었으며, 2007년 9월 투자사업부문과 제조사업부문을 인적분할하여 지주회사로 전환함. 2021년 12월말 현재 CJ제일제당, CJ이엔엠 등 8개 자회사의 지분을 보유하고 있으며, 계열사(국내 기준)는 총 85개사임. 생활문화그룹 CJ는 지주회사인 동사를 비롯하여 식품&식품서비스, 생명공학, 물류&신유통, 엔터테인먼트&미디어 등 4대 주력 사업군으로 이루어지며, 시너지&인프라 분야가 업무역량을 뒷받침하고 있음.",KRX,2682470
007070-KR,CP0000001736,GS리테일,"GS Retail Co., Ltd.","전력 및 통신용전선과 케이블 판매를 목적으로 1971년 금성전공이라는 사명으로 설립되었으며, 두 차례 상호변경을 거쳐 2005년 GS리테일로 상호를 변경함. 지에스그룹에 속한 계열회사로서, 2021년 반기말 현재 지에스그룹에는 69개의 국내계열회사가 존재. 상장사는 당사를 포함하여 총 7개사가 있음. 2020년 7월 GS네트웍스는 씨브이에스넷과의 합병을 통해 물류센터 운영체계 고도화, 수익모델 다각화 등 성장을 기대.",KRX,2513630
278280-KR,CP0000002178,천보,"CHUNBO CO.,LTD.","동사는 2007년 10월 8일에 설립되었으며, 2019년 코스닥 시장에 주식을 상장함. 전자소재, 이차전지 전해질 등의 개발, 제조 및 판매를 주요사업으로 하고 있음. 주요 사업부문은 크게 전자소재, 2차전지 소재, 의약품 소재, 정밀화학 소재로 구성됨. 매출 구성은 전자소재 24%, 2차전지 소재 69.3%, 의약품소재 2.2%, 정밀화학소재 3.1%, 기타 1.4%로 이루어져있음.",KRX,2303760
004170-KR,CP0000001775,신세계,"Shinsegae Co., Ltd","동사는 1955년 동화백화점으로 설립되어 1985년 유가증권시장에 상장되어 매매가 개시 됨. 사업 영역은 백화점사업, 패션 및 라이프스타일, 화장품 제조 및 도소매사업, 면세점사업, 부동산 및 여객터미널업관광호텔업, 가구소매업으로 세분화 됨. 신세계센트럴시티, 신세계동대구복합환승센터, 신세계인터내셔날, 까사미아, 서울고속버스터미널 등을 연결대상 종속회사로 보유함.",KRX,2144340
009970-KR,CP0000003233,영원홀딩스,"Youngone Holdings Co., Ltd.","동사는 2009년 7월 1일 회사 분할을 통해 지주회사로서 존속하게 되었고, 사업회사인 영원무역을 통해 아웃도어 및 스포츠 의류, 신발, 백팩의 제조, 수출 및 유통사업을 영위함. 사업회사인 영원아웃도어는 국내에서 노스페이스 브랜드 리테일 사업을 영위하고 있음. 약 40여개의 해외 유명 바이어들로부터 아웃도어 및 스포츠 의류, 신발, 백팩 등의 제품을 수주 받아 해외현지법인 공장에서 OEM 방식으로 제품을 생산 및 수출.",KRX,553554
008490-KR,CP0000003317,서흥,Suheung Co. Ltd.,"동사는 1973년 설립되어 1990년 한국거래소에 상장했으며 하드캡슐, 의약품 및 건강기능식품, 화장품 및 젤라틴 부문 사업을 영위하는 제조 전문기업임. 주요 사업부문은 캡슐, 젤라틴 등 원료, 화장품 부문으로 구성되며 하드캡슐부문에서 동사가 국내 시장 95% 이상을 점유하고 있음. 연결대상 종속법인을 9개 보유하고 있으며 각 기업들은 젤라틴, 캡슐 등 제조업, 건강기능식품 제조업, 부동산 임대업 등을 영위하고 있음.",KRX,385277
032500-KR,CP0000001883,케이엠더블유,KMW Inc,"1991년 1월에 설립되어 1994년 법인전환 후 2000년 3월에 코스닥시장에 상장한 무선통신장비 전문 제조 기업임. 동사 및 종속회사는 무선통신 기지국에 장착되는 각종 장비 및 부품류 등을 생산, 판매하는 RF사업과 스포츠조명, 실외조명, 실내조명등을 생산, 판매하는 LED사업을 영위하고 있음. 당기말 현재 11개의 연결대상 종속회사를 보유중이며 RF사업은 5G 투자에 따른 수주 선점을 목표로 함.",KRX,1216530
012750-KR,CP0000001672,에스원,S-1 Corporation,"동사는 '종합 안심솔루션 회사'로서 주요 사업으로 시큐리티 서비스와 인프라 서비스사업을 영위하고 있음. 시큐리티 서비스 사업은 유ㆍ무선 통신 네트워크를 통해 첨단 보안기기와 관제센터, 출동요원을 연결하여 범죄 및 사고를 예방하는 시스템보안 서비스 제공 및 보안 관련 상품을 판매함. 인프라 서비스 사업은 부동산 서비스 부문과 통합보안 및 보안 SI부문으로 구성되어 있음.",KRX,2140190
402340-KR,CP0000034097,SK스퀘어,SK Square Co. Ltd.,"동사는 2021년 11월 2일 'SK텔레콤'으로부터 인적분할을 통해 설립되었음. 동사는 'SK쉴더스', '11번가'와 같은 주요종속회사 및 'SK하이닉스'와 같은 주요자회사를 포함하여 반도체, ICT 섹터를 중심으로 한 효율적인 포트폴리오 및 지배구조를 형성하고 있음. 2021년 12월 28일 동사는 지주회사 전환을 승인 받았으며, 지속적인 투자를 통해 IPO 파이프라인을 구축할 계획임.",KRX,5880680
088350-KR,CP0000001761,한화생명보험,"HANWHA LIFE INSURANCE Co., Ltd.","1946년 국내 최초 생명보험회사로 설립되어 오랜 업력을 바탕으로 높은 브랜드 인지도를 보유하고 있으며,  2012년 대한생명보험에서 '한화생명'으로 사명을 변경함. 가치중심 영업 추진을 통해 보장성상품 판매 확대, 상품 판매 속성 개선, 상품 수익성 제고에 집중하고 있음. 국내 생명보험시장에서 높은 시장점유율을 보유하며, 설계사 조직 중심의 보험영업 구조로 인해 영업기반의 안정성이 우수함.",KRX,1645540
00806K-KR,CP0000033787,대덕1우,"DAEDUCK Co., Ltd.","DAEDUCK Co., Ltd. engages in the manufacture and sale of printed circuit boards (PCB). Its products include PCBs for memory, smart phones, electronic devices, and others. The company was founded on August 11, 1972 and is headquartered in Ansan-si, South Korea.",KRX,223.2028355
241820-KR,CP0000003411,피씨엘,"PCL, Inc.","체외진단 전문기업인 동사는 혈액선별 진단제품과 POCT 제품 개발 및 공급, 플랫폼 사업을 하고 있음. 고민감도, 저비용, 고효율 다중진단 플랫폼 기술 기반의 사업임. 동사는 SG Cap™ 고민감도 원천기술을 바탕으로 세계 최초로 고위험군 바이러스 혈액 스크리닝 다중면역 진단제품 상용화에 성공한 업체임. 현재 동사의 제품은 코로나19감염, 인플루엔자, 자가면역 등을 진단하는 진단키트와 분석기기 등이 있음.",KRX,219113
267980-KR,CP0000003352,매일유업,"Maeil Dairies Co., Ltd.","2017년 5월 매일유업에서 인적분할 되었으며, 낙농품 및 음료 제조판매/수출입 등을 주요 사업으로 영위. 주요 제품으로는 매일우유, 상하목장 유기농우유, 앱솔루트 명작, 매일바이오, 뼈로가는 칼슘두유 등이 있으며 2023년 3월 말 기준 국내업계 중 최다인 총 17품목의 특수분유를 운영. 백색우유 시장 내 동사의 유기농 제품은 시장점유율 87%로 1위를 견고히 지키고 있음.",KRX,438470
068240-KR,CP0000003242,다원시스,"Dawonsys Co., Ltd","동사는 특수전원장치 제조 및 판매를 목적으로 1996년 1월 9일 설립됨. 국내시장에서 핵융합 전원 장치를 공급하는 유일 업체로 특수전원장치 사업과 전자유도가열 사업을 주요 사업으로 영위하고 있음. 특수전원장치 중 핵융합전원 장치는 국가 연구기관을 대상, 플라스마 전원 장치는 환경 설비 전문 업체인 포스코 ICT와 민간기업인 반도체 세정장비 제조업체들을 대상으로 제품을 공급함.",KRX,775714
131290-KR,CP0000003172,티에스이,"TSE Co., Ltd","반도체 및 OLED 검사장비를 제조, 판매하는 회사로 반도체 및 OLED의 전기적/광학적 특성을 검사하기 위한 Total Test Solution을 제조 및 판매함. 웨이퍼 상태를 테스트하기 위한 Probe Card와 후공정 최종 단계에서 검사를 위한 Test Interface Board, Load Board, Test socket 등은 반도체 산업에 속함. OLED/LED 검사장비는 디스플레이 산업에 속해 있음.",KRX,664266
192650-KR,CP0000003173,드림텍,"Dreamtech Co., Ltd.",동사는 1998년 9월 22일에 설립. 고객사의 수요를 충족하기 위한 제품 솔루션을 개발하고 제조하는 사업을 영위하고 있음. 스마트폰에 탑재되는 카메라모듈을 개발 및 공급하는 CCM 사업 등 다변화된 사업구성을 보유한 EMS 및 ODM 전문 기업임. 삼성전자 Feature Phone / Smart Phone / Tablet / Accessory에 들어가는 모든 모듈에 대한 개발 능력/이력을 보유하고 있음.,KRX,617280
078600-KR,CP0000003174,대주전자재료,"Daejoo Electronic Materials Co., Ltd.","동사는 전자제품에 필수적으로 사용되는 전자부품용 소재를 종합적으로 개발, 제조, 양산할 수 있는 전자재료 전문기업. 생산 제품들은 스마트폰, 노트북 등에 사용되는 칩형 전자부품에 응용되는 칩부품용 전극재료와 LED용 형광체, AMOLED 재료, 태양전지용 전극재료, 이차전지 음극재료 등이 있음. LED용 형광체는 LG화학 형광체 사업부를 인수하여 세계 2위의 생산능력을 확보함.",KRX,1079490
038500-KR,CP0000003271,삼표시멘트,SAMPYO Cement Co. Ltd.,"지배회사인 동사 및 종속회사는 시멘트 사업을 영위하고 있으며 시멘트, 크링커, 석회석 등을 제조 및 판매하고 있음 레미콘사업 진출을 위하여 삼표레미콘을 설립하였으며, 2021년 9월 30일자로 삼표산업과 에스피네이처의 레미콘 사업부분을 인수 완료함. 삼표자원개발(주)는 풍부한 매장량을 기반으로 한 시멘트의 주 원료인 양질의 석회석 생산량 전량을 (주)삼표시멘트에 안정적으로 공급중임.",KRX,431023
232140-KR,CP0000003399,와이아이케이,YIK Corporation,"1991년 4월 설립되어, 고속 메모리테스터 검사장비 제조 공급업체로서, 주요 제품으로는 메모리 웨이퍼 테스터 등이 있음. 주요 제품인 반도체용 웨이퍼 테스터는 칩의 불량 정보를 정확히 취득하고 분석하는 역할을 하며, DRAM 및 3D-NAND에 적용되는 전공정을 마친 웨이퍼를 셀 단위로 전수 검사함. 매출구성은 반도체 부문 80%, 전지전자부속품 19%로 이루어져있음.",KRX,349687
064260-KR,CP0000003400,다날,"Danal Co., Ltd","동사는 소프트웨어 개발, 수출 및 판매 등을 영위할 목적으로 1997년 7월 설립되어 2004년 7월 코스닥시장에 상장됨. 휴대폰 결제 서비스를 주 사업으로 국내 뿐 아니라 해외에서도 결제 및 인증사업을 진행하고 있으며, 온/오프라인 휴대폰 결제를 비롯하여, 신용카드, 바코드 결제 등의 커머스사업을 진행하고 있음. 연결종속회사들의 사업부문은 디지털콘텐츠부문, 프랜차이즈부문, 렌탈서비스부문으로 구별됨.",KRX,480241
126560-KR,CP0000003401,현대퓨처넷,"Hyundai Futurenet Co., Ltd","종합유선방송업, 유선설비사업 및 부가통신사업을 주목적으로 1992년 설립되었고, 2020년 11월에 분할하여 디지털 사이니지 및 기업메시징사업을 주목적으로 영위함. 디지털 사이니지 서비스는 공공장소와 상업 공간에 설치하여 LED 등 디스플레이 스크린을 통해 정보, 오락, 광고 등의 콘텐츠를 제공하는 디지털 신기술 미디어 서비스임. 종속회사인 현대바이랜드는 천연물을 이용한 의약품, 화장품, 기능성식품 등의 원료를 제조함.",KRX,286971
039130-KR,CP0000002875,하나투어,"Hanatour Service, Inc.","동사는 일반여행업(여행알선) 및 컴퓨터 프로그램 개발 및 보급 등의 서비스업을 주요 사업으로 영위할 목적으로 1993년 11월 1일에 설립됨. 전세계 20여만 개 여행상품을 전국 8,000여개의 협력여행사, 온라인포털, 쇼핑몰 등의 다양한 유통채널을 통해 판매하는 종합 여행 홀세일러. 종속회사를 통하여, 특화된 시장을 위한 여행알선 사업을 영위하고 있으며, 해외를 거점으로 한 서비스제공 사업 등을 영위하고 있음.",KRX,765203
034830-KR,CP0000003235,한국토지신탁,"Korea Real Estate Investment Trust Co., Ltd.","동사는 토지신탁사업 외에 담보신탁, 관리신탁, 처분신탁, 분양관리신탁, 대리사무 등의 비토지신탁사업 그리고 도시정비사업, REITs, 투자사업, 해외사업 등을 수행하고 있음. 최대주주는  엠케이인베스트먼트(주)이며 최대주주의 계열회사로는 엠케이전자(주), (주)오션비홀딩스 등이 있음. 동사는 창사 이래 가장 많은 차입형 토지신탁 사업을 수주/관리하여 차입형 토지신탁의 수주부터 사업정산시까지 매니지먼트 노하우가 뛰어난 회사임.",KRX,371709
005180-KR,CP0000003236,빙그레,"Binggrae Co., Ltd","동사의 연결기업의 공시대상 사업부문은 유가공 단일 부문으로 구성되어 있으며, 온도대별로 냉장품목군과 냉동 및 기타품목군으로 이루어져 있음. 동사의 주요 제품으로는  '바나나맛우유', '요플레',  '투게더',  '아카페라',  '따옴' 등이 있으며, 종속회사인 해태아이스크림㈜의 주요 제품으로는 '부라보콘’ 등이 있음. 매년 꾸준한 연구개발비용 투자를 통해 다양하고 시장을 선도하는 신제품을 개발.",KRX,419985
092190-KR,CP0000003238,서울바이오시스,"Seoul Viosys Co., Ltd.","동사는 2002년 1월 25일에 설립되었으며, LED Chip 연구개발, 생산, 판매업을 주요 사업으로 영위. 동사의 LED Chip은 일반조명과 디스플레이용 BLU, 가시광선 영역의 Visible LED 등 매우 광범위한 분야에 적용되고 있음. MicroLED(차세대 초소형 가시광LED 제품)과 IR LED/VCSEL(적외선 계열 LED/LD 제품) 분야에서 신규시장 진입을 시작하고 있음.",KRX,288263
003070-KR,CP0000003403,코오롱글로벌,Kolon Global Corporation,"동사는 1960년 협화실업으로 설립되어, 2011년 코오롱아이넷주식회사와 코오롱비앤에스주식회사를 흡수합병하여 코오롱글로벌주식회사로 상호변경. 건설사업부문은 ""코오롱하늘채"". ""린든그로브""와 같은 주택 브랜드를 앞세운 주택 및 건축 분야와, 도로/교량 등을 시공하는 토목분야 및 SOC사업을 영위. 해외 상하수도 시설을 시공하는 환경 사업, 풍력발전을 포함한 신재생에너지 사업 등으로 이루어진 종합 건설업을 영위.",KRX,450189
015750-KR,CP0000003496,성우하이텍,"Sungwoo Hitech Co., Ltd","동사는 1981년 12월 설립되어 1995년 11월 코스닥증권시장에 상장되었으며, 자동차부품 제조 및 판매 사업을 주사업으로 영위하고 있음. OEM부품전문업체 선발 주자로서 주요 매출처는 현대자동차, 기아자동차, 한국지엠 등이 있고 매출다각화를 위해 해외 현지법인을 통하여 VW(폭스마겐), BMW등에도 자동차부품을 공급하고 있음. 현대자동차에 납품하는 Bumper rail은 거의 독점적인 공급자임.",KRX,447153
000370-KR,CP0000003492,한화손해보험,"Hanwha General Insurance Co., Ltd","대한민국 최초 민족자본 설립 손해보험사로 장기, 자동차, 일반보험분야에서 고객의 니즈에 맞는 다양한 상품 및 서비스를 제공하고 있음. 한화생명, 한화투자증권 등과 함께 한화금융네트워크의 위상을 강화하며 시너지를 창출하고 있음. 금융소비자보호 헌장 개정, 소비자 보호체계 강화 등을 통해 소비자 권익 보호에 최선을 다하며, 투명한 지배구조 구축을 위하여 기업지배구조헌장을 제정하는 등 ESG 중심 경영을 실천하고 있음.",KRX,546367
289220-KR,CP0000003494,자이언트스텝,"GIANTSTEP, Inc.","동사는 광고 VFX , 영상 VFX 및 리얼타임 콘텐츠 솔루션에 이르기까지 다양한 콘텐츠를 제작하는 AI기반의 리얼타임 콘텐츠 솔루션 전문기업임. 기존의 아날로그 미디어와 새로운 디지털 미디어의 시각적 결과물을 다양한 클라이언트와 소비자의 요구에 맞춰 리서치, 컨설팅, 기획 및 제작하여 최상의 그래픽 결과물을 만들어 내고 있음. 버추얼 프로덕션 솔루션, 대화 및 반응형 버추얼휴먼OS 제작 등의 사업을 전개하고 있음.",KRX,568602
